ime,dat,latitude,longitude,,,count,
1.33E+17,6/8/2023 18:52,40.023380,-75.1394458,5.67,2.15,2.93, 
1.33E+17,7/5/2023,40.022727,-75.1361604,10.7,2,2.93, 
1.33E+17,7/5/2023,40.022833,-75.1360999,11.8,2,2.93, 
1.33E+17,7/5/2023,40.022865,-75.1359588,6.61,2.08,2.93, 
1.33E+17,7/5/2023,40.022938,-75.1357336,4.52,2.08,2.93, 
1.33E+17,7/5/2023,40.022952,-75.1356004,4.68,2.08,2.93, 
1.33E+17,7/5/2023,40.022937,-75.1354372,4.68,2.08,2.93, 
1.33E+17,7/5/2023,40.022910,-75.1352512,4.63,2.08,2.93, 
1.33E+17,7/5/2023,40.022883,-75.1350651,4.26,2.07,2.93, 
1.33E+17,7/5/2023,40.022866,-75.1348444,4.12,2.07,2.93, 
1.33E+17,7/5/2023,40.022848,-75.1346262,4.09,2.07,2.93, 
1.33E+17,7/5/2023,40.022827,-75.1344221,4.15,2.07,2.93, 
1.33E+17,7/5/2023,40.022803,-75.1342574,4.15,2.07,2.93, 
1.33E+17,7/5/2023,40.022780,-75.1341299,4.12,2.07,2.93, 
1.33E+17,7/5/2023,40.018256,-75.1275087,3.86,2.3,2.93, 
1.33E+17,7/5/2023,40.018391,-75.1274448,5.84,2.3,2.93, 
1.33E+17,7/5/2023,40.018547,-75.1273637,7.95,2.3,2.93, 
1.33E+17,7/5/2023,40.018692,-75.1273073,8.03,2.3,2.93, 
1.33E+17,7/5/2023,40.018821,-75.1272524,6.02,2.3,2.93, 
1.33E+17,7/5/2023,40.018937,-75.1271941,3.91,2.3,2.93, 
1.33E+17,7/5/2023,40.020928,-75.1263436,3.79,2.43,2.93, 
1.33E+17,7/5/2023,40.021055,-75.1262935,3.79,2.43,2.93, 
1.33E+17,7/5/2023,40.021173,-75.1262447,3.79,2.43,2.93, 
1.33E+17,7/5/2023,40.021292,-75.1262013,3.79,2.43,2.93, 
1.33E+17,7/5/2023,40.021418,-75.1261650,3.79,2.43,2.93, 
1.33E+17,7/5/2023,40.021506,-75.1261319,3.95,2.43,2.93, 
1.33E+17,7/5/2023,40.016060,-75.1300052,3.79,2.23,2.94, 
1.33E+17,7/5/2023,40.016036,-75.1298672,3.79,2.23,2.94, 
1.33E+17,7/5/2023,40.016034,-75.1296387,3.79,2.23,2.94, 
1.33E+17,7/5/2023,40.016109,-75.1295270,3.79,2.23,2.94, 
1.33E+17,7/5/2023,40.016226,-75.1293968,3.82,2.23,2.94, 
1.33E+17,6/11/2023 19:18,40.022181,-75.1385137,3.79,2.61,2.95, 
1.33E+17,6/11/2023 19:18,40.022322,-75.1382222,3.79,2.61,2.95, 
1.33E+17,6/11/2023 19:18,40.022454,-75.1379423,3.79,2.61,2.95, 
1.33E+17,6/11/2023 19:18,40.022589,-75.1376777,3.79,2.61,2.95, 
1.33E+17,6/11/2023 19:18,40.022705,-75.1374306,3.79,2.61,2.95, 
1.33E+17,6/11/2023 19:18,40.022791,-75.1372304,3.79,2.61,2.95, 
1.33E+17,7/5/2023,40.022352,-75.1362288,4.44,1.97,2.95, 
1.33E+17,7/5/2023,40.022441,-75.1362098,6.45,1.97,2.95, 
1.33E+17,7/5/2023,40.022617,-75.1361809,10.5,1.97,2.95, 
1.33E+17,7/5/2023,40.016147,-75.1305841,3.79,2.42,2.95, 
1.33E+17,7/5/2023,40.016129,-75.1304473,3.79,2.42,2.95, 
1.33E+17,7/5/2023,40.016107,-75.1302999,3.79,2.42,2.95, 
1.33E+17,7/5/2023,40.016083,-75.1301491,3.79,2.42,2.95, 
1.33E+17,6/19/2023,40.023398,-75.1393962,9.94,1.57,2.96, 
1.33E+17,6/19/2023,40.023367,-75.1392410,9.97,1.57,2.96, 
1.33E+17,6/19/2023,40.023348,-75.1390664,11.5,1.57,2.96, 
1.33E+17,6/19/2023,40.023336,-75.1388884,10.5,1.57,2.96, 
1.33E+17,7/5/2023,40.022659,-75.1333531,4.58,2.11,2.96, 
1.33E+17,7/5/2023,40.022641,-75.1331868,4.99,2.11,2.96, 
1.33E+17,7/5/2023,40.022623,-75.1330212,7.66,2.11,2.96, 
1.33E+17,7/5/2023,40.022601,-75.1328446,9.49,2.11,2.96, 
1.33E+17,7/5/2023,40.016389,-75.1326889,3.79,2.2,2.96, 
1.33E+17,7/5/2023,40.022575,-75.1326616,10.9,2.11,2.96, 
1.33E+17,7/5/2023,40.016366,-75.1325491,3.79,2.2,2.96, 
1.33E+17,7/5/2023,40.016350,-75.1324160,3.79,2.2,2.96, 
1.33E+17,7/5/2023,40.016333,-75.1322817,3.79,2.2,2.96, 
1.33E+17,7/5/2023,40.016309,-75.1321128,3.79,2.2,2.96, 
1.33E+17,6/8/2023 19:14,40.016926,-75.1492380,5.67,2.56,2.97, 
1.33E+17,6/8/2023 19:14,40.016926,-75.1492380,5.67,2.56,2.97, 
1.33E+17,6/8/2023 19:14,40.016885,-75.1489472,5.67,2.56,2.97, 
1.33E+17,6/8/2023 19:14,40.016885,-75.1489472,5.67,2.56,2.97, 
1.33E+17,7/5/2023,40.022761,-75.1339945,4.06,2.24,2.98, 
1.33E+17,7/5/2023,40.016534,-75.1329760,3.83,1.99,2.98, 
1.33E+17,7/5/2023,40.016447,-75.1329229,3.79,1.99,2.98, 
1.33E+17,7/5/2023,40.016419,-75.1328067,3.79,1.99,2.98, 
1.33E+17,6/11/2023 18:37,40.020140,-75.1320180,3.79,2.17,2.98, 
1.33E+17,6/11/2023 18:37,40.020116,-75.1318830,3.79,2.17,2.98, 
1.33E+17,6/11/2023 18:37,40.020092,-75.1317177,3.79,2.17,2.98, 
1.33E+17,6/11/2023 18:37,40.020070,-75.1315400,3.79,2.17,2.98, 
1.33E+17,6/11/2023 18:37,40.020045,-75.1313774,3.79,2.17,2.98, 
1.33E+17,7/5/2023,40.020212,-75.1266645,4.47,2.47,2.98, 
1.33E+17,7/5/2023,40.020366,-75.1266076,4.53,2.47,2.98, 
1.33E+17,7/5/2023,40.020516,-75.1265411,4.38,2.47,2.98, 
1.33E+17,7/5/2023,40.020657,-75.1264748,4.16,2.47,2.98, 
1.33E+17,7/5/2023,40.020795,-75.1264053,3.93,2.47,2.98, 
1.33E+17,6/19/2023,40.023457,-75.1396143,10.9,1.41,2.99, 
1.33E+17,7/5/2023,40.021708,-75.1363809,4.59,1.98,2.99, 
1.33E+17,7/5/2023,40.021900,-75.1363334,4.56,1.98,2.99, 
1.33E+17,7/5/2023,40.022030,-75.1363028,4.53,1.98,2.99, 
1.33E+17,7/5/2023,40.022143,-75.1362714,4.49,1.98,2.99, 
1.33E+17,7/5/2023,40.022251,-75.1362479,4.47,1.98,2.99, 
1.33E+17,7/5/2023,40.016295,-75.1319220,3.79,2.24,2.99, 
1.33E+17,7/5/2023,40.016288,-75.1317813,3.79,2.24,2.99, 
1.33E+17,7/5/2023,40.016267,-75.1316273,3.79,2.24,2.99, 
1.33E+17,7/5/2023,40.022739,-75.1338373,4.2,2.25,3, 
1.33E+17,7/5/2023,40.022715,-75.1337058,4.38,2.25,3, 
1.33E+17,7/5/2023,40.022690,-75.1335838,5.28,2.25,3, 
1.33E+17,6/8/2023 18:53,40.022216,-75.1396710,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:53,40.022216,-75.1396710,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:53,40.022412,-75.1396262,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:53,40.022412,-75.1396262,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:52,40.022593,-75.1395851,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:52,40.022593,-75.1395851,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:52,40.022787,-75.1395427,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:52,40.022787,-75.1395427,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:52,40.022985,-75.1395001,5.67,2.08,3.01, 
1.33E+17,6/8/2023 18:52,40.022985,-75.1395001,5.67,2.08,3.01, 
1.33E+17,7/5/2023,40.020486,-75.1351085,3.91,1.99,3.02, 
1.33E+17,7/5/2023,40.020458,-75.1348773,3.79,1.99,3.02, 
1.33E+17,7/5/2023,40.020429,-75.1346568,3.79,1.99,3.02, 
1.33E+17,7/5/2023,40.020403,-75.1344595,3.79,1.99,3.02, 
1.33E+17,7/5/2023,40.020373,-75.1342566,5.02,1.99,3.02, 
1.33E+17,7/5/2023,40.019632,-75.1341724,5.25,2.02,3.02, 
1.33E+17,7/5/2023,40.019799,-75.1341456,5.07,2.02,3.02, 
1.33E+17,7/5/2023,40.020346,-75.1341442,10.2,1.99,3.02, 
1.33E+17,7/5/2023,40.019972,-75.1341177,6.85,2.02,3.02, 
1.33E+17,7/5/2023,40.020127,-75.1340803,8.65,2.02,3.02, 
1.33E+17,7/5/2023,40.020244,-75.1340432,10.5,2.02,3.02, 
1.33E+17,6/11/2023 17:59,40.020448,-75.1340167,9.94,2.01,3.02, 
1.33E+17,6/11/2023 17:59,40.020583,-75.1339850,9.94,2.01,3.02, 
1.33E+17,6/11/2023 17:59,40.020752,-75.1339463,9.94,2.01,3.02, 
1.33E+17,6/11/2023 18:00,40.020953,-75.1339031,9.94,2.01,3.02, 
1.33E+17,6/11/2023 18:00,40.021167,-75.1338575,9.94,2.01,3.02, 
1.33E+17,7/5/2023,40.016250,-75.1314469,3.79,2.39,3.02, 
1.33E+17,7/5/2023,40.016234,-75.1312603,3.79,2.39,3.02, 
1.33E+17,7/5/2023,40.016212,-75.1310715,3.79,2.39,3.02, 
1.33E+17,7/5/2023,40.016191,-75.1308620,3.79,2.39,3.02, 
1.33E+17,7/5/2023,40.016170,-75.1307019,3.79,2.39,3.02, 
1.33E+17,6/8/2023 18:53,40.021228,-75.1399229,5.67,2.04,3.03, 
1.33E+17,6/8/2023 18:53,40.021228,-75.1399229,5.67,2.04,3.03, 
1.33E+17,6/8/2023 18:53,40.021354,-75.1398862,5.67,2.04,3.03, 
1.33E+17,6/8/2023 18:53,40.021354,-75.1398862,5.67,2.04,3.03, 
1.33E+17,6/8/2023 18:53,40.021494,-75.1398496,5.67,2.04,3.03, 
